time (s),Vout (V)
0.000,8.554E-6
78.00E-9,169.2E-6
156.0E-9,235.8E-6
234.0E-9,250.8E-6
312.0E-9,248.1E-6
390.0E-9,243.0E-6
468.0E-9,237.8E-6
546.0E-9,232.9E-6
624.0E-9,228.2E-6
702.0E-9,223.8E-6
780.0E-9,219.6E-6
858.0E-9,215.6E-6
936.0E-9,211.7E-6
1.014E-6,208.0E-6
1.092E-6,204.4E-6
1.170E-6,200.9E-6
1.248E-6,197.6E-6
1.326E-6,194.4E-6
1.404E-6,191.3E-6
1.482E-6,188.3E-6
1.560E-6,185.5E-6
1.638E-6,182.7E-6
1.716E-6,180.0E-6
1.794E-6,177.4E-6
1.872E-6,174.9E-6
1.950E-6,172.5E-6
2.028E-6,170.2E-6
2.106E-6,167.9E-6
2.184E-6,165.7E-6
2.262E-6,163.6E-6
2.340E-6,161.5E-6
2.418E-6,159.5E-6
2.496E-6,157.6E-6
2.574E-6,155.7E-6
2.652E-6,153.9E-6
2.730E-6,152.1E-6
2.808E-6,150.4E-6
2.886E-6,148.7E-6
2.964E-6,147.1E-6
3.042E-6,145.5E-6
3.120E-6,143.9E-6
3.198E-6,142.4E-6
3.276E-6,141.0E-6
3.354E-6,139.6E-6
3.432E-6,138.2E-6
3.510E-6,136.9E-6
3.588E-6,135.5E-6
3.666E-6,134.3E-6
3.744E-6,133.0E-6
3.822E-6,131.8E-6
3.900E-6,130.7E-6
3.978E-6,129.5E-6
4.056E-6,128.4E-6
4.134E-6,127.3E-6
4.212E-6,126.3E-6
4.290E-6,125.2E-6
4.368E-6,124.2E-6
4.446E-6,123.2E-6
4.524E-6,122.3E-6
4.602E-6,121.3E-6
4.680E-6,120.4E-6
4.758E-6,119.5E-6
4.836E-6,118.7E-6
4.914E-6,117.8E-6
4.992E-6,117.0E-6
5.070E-6,116.2E-6
5.148E-6,115.4E-6
5.226E-6,114.7E-6
5.304E-6,113.9E-6
5.382E-6,113.2E-6
5.460E-6,112.4E-6
5.538E-6,111.7E-6
5.616E-6,111.0E-6
5.694E-6,110.4E-6
5.772E-6,109.7E-6
5.850E-6,109.0E-6
5.928E-6,108.4E-6
6.006E-6,107.7E-6
6.084E-6,107.1E-6
6.162E-6,106.5E-6
6.240E-6,105.9E-6
6.318E-6,105.3E-6
6.396E-6,104.8E-6
6.474E-6,104.2E-6
6.552E-6,103.6E-6
6.630E-6,103.1E-6
6.708E-6,102.6E-6
6.786E-6,102.0E-6
6.864E-6,101.5E-6
6.942E-6,101.0E-6
7.020E-6,100.5E-6
7.098E-6,100.0E-6
7.176E-6,99.55E-6
7.254E-6,99.08E-6
7.332E-6,98.62E-6
7.410E-6,98.17E-6
7.488E-6,97.73E-6
7.566E-6,97.29E-6
7.644E-6,96.87E-6
7.722E-6,96.45E-6
7.800E-6,96.04E-6
7.878E-6,95.64E-6
7.956E-6,95.24E-6
8.034E-6,94.86E-6
8.112E-6,94.48E-6
8.190E-6,94.11E-6
8.268E-6,93.74E-6
8.346E-6,93.39E-6
8.424E-6,93.03E-6
8.502E-6,92.69E-6
8.580E-6,92.35E-6
8.658E-6,92.02E-6
8.736E-6,91.70E-6
8.814E-6,91.38E-6
8.892E-6,91.07E-6
8.970E-6,90.77E-6
9.048E-6,90.47E-6
9.126E-6,90.18E-6
9.204E-6,89.90E-6
9.282E-6,89.62E-6
9.360E-6,89.34E-6
9.438E-6,89.08E-6
9.516E-6,88.81E-6
9.594E-6,88.56E-6
9.672E-6,88.31E-6
9.750E-6,88.06E-6
9.828E-6,87.82E-6
9.906E-6,87.59E-6
9.984E-6,87.36E-6
10.06E-6,87.14E-6
10.14E-6,86.92E-6
10.22E-6,86.71E-6
10.30E-6,86.50E-6
10.37E-6,86.30E-6
10.45E-6,86.10E-6
10.53E-6,85.91E-6
10.61E-6,85.72E-6
10.69E-6,85.54E-6
10.76E-6,85.36E-6
10.84E-6,85.19E-6
10.92E-6,85.02E-6
11.00E-6,84.85E-6
11.08E-6,84.69E-6
11.15E-6,84.54E-6
11.23E-6,84.39E-6
11.31E-6,84.25E-6
11.39E-6,84.10E-6
11.47E-6,83.97E-6
11.54E-6,83.84E-6
11.62E-6,83.71E-6
11.70E-6,83.59E-6
11.78E-6,83.47E-6
11.86E-6,83.35E-6
11.93E-6,83.24E-6
12.01E-6,83.14E-6
12.09E-6,83.04E-6
12.17E-6,82.94E-6
12.25E-6,82.85E-6
12.32E-6,82.76E-6
12.40E-6,82.67E-6
12.48E-6,82.59E-6
12.56E-6,82.51E-6
12.64E-6,82.44E-6
12.71E-6,82.37E-6
12.79E-6,82.31E-6
12.87E-6,82.25E-6
12.95E-6,82.19E-6
13.03E-6,82.14E-6
13.10E-6,82.09E-6
13.18E-6,82.05E-6
13.26E-6,82.01E-6
13.34E-6,81.97E-6
13.42E-6,81.94E-6
13.49E-6,81.91E-6
13.57E-6,81.88E-6
13.65E-6,81.86E-6
13.73E-6,81.84E-6
13.81E-6,81.83E-6
13.88E-6,81.82E-6
13.96E-6,81.82E-6
14.04E-6,81.82E-6
14.12E-6,81.82E-6
14.20E-6,81.82E-6
14.27E-6,81.83E-6
14.35E-6,81.85E-6
14.43E-6,81.87E-6
14.51E-6,81.89E-6
14.59E-6,81.91E-6
14.66E-6,81.94E-6
14.74E-6,81.98E-6
14.82E-6,82.01E-6
14.90E-6,82.05E-6
14.98E-6,82.10E-6
15.05E-6,82.15E-6
15.13E-6,82.20E-6
15.21E-6,82.26E-6
15.29E-6,82.32E-6
15.37E-6,82.38E-6
15.44E-6,82.45E-6
15.52E-6,82.53E-6
15.60E-6,82.60E-6
15.68E-6,82.68E-6
15.76E-6,82.77E-6
15.83E-6,82.86E-6
15.91E-6,82.95E-6
15.99E-6,83.05E-6
16.07E-6,83.15E-6
16.15E-6,83.25E-6
16.22E-6,83.36E-6
16.30E-6,83.47E-6
16.38E-6,83.59E-6
16.46E-6,83.71E-6
16.54E-6,83.84E-6
16.61E-6,83.97E-6
16.69E-6,84.10E-6
16.77E-6,84.24E-6
16.85E-6,84.39E-6
16.93E-6,84.53E-6
17.00E-6,84.69E-6
17.08E-6,84.84E-6
17.16E-6,85.00E-6
17.24E-6,85.17E-6
17.32E-6,85.34E-6
17.39E-6,85.51E-6
17.47E-6,85.69E-6
17.55E-6,85.87E-6
17.63E-6,86.06E-6
17.71E-6,86.25E-6
17.78E-6,86.45E-6
17.86E-6,86.65E-6
17.94E-6,86.86E-6
18.02E-6,87.07E-6
18.10E-6,87.29E-6
18.17E-6,87.51E-6
18.25E-6,87.74E-6
18.33E-6,87.97E-6
18.41E-6,88.21E-6
18.49E-6,88.45E-6
18.56E-6,88.70E-6
18.64E-6,88.95E-6
18.72E-6,89.21E-6
18.80E-6,89.47E-6
18.88E-6,89.74E-6
18.95E-6,90.02E-6
19.03E-6,90.30E-6
19.11E-6,90.58E-6
19.19E-6,90.87E-6
19.27E-6,91.17E-6
