Iex;Prms;fspike;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
17.58e-12;75.42e-12;1,00E+03;;;
17.99e-12;75.72e-12;1,00E+03;;;
18.41e-12;75.7e-12;1,00E+03;;;
18.83e-12;76.05e-12;1,00E+03;;;
19.26e-12;76.5e-12;1,00E+03;;;
19.71e-12;76.7e-12;1,00E+03;;;
20.16e-12;81.99e-12;2,00E+03;;;
20.63e-12;86.94e-12;3,00E+03;;;
21.1e-12;103.3e-12;5,00E+03;;;
21.59e-12;110.4e-12;5,00E+03;;;
22.09e-12;1,14E-10;6,00E+03;;;
22.6e-12;124.1e-12;7,00E+03;;;
23.12e-12;130.6e-12;8,00E+03;;;
23.65e-12;144.3e-12;1,00E+04;;;
24.2e-12;154.9e-12;1,20E+04;;;
24.75e-12;1,62E-10;1,30E+04;;;
25.33e-12;166.6e-12;1,40E+04;;;
25.91e-12;171.6e-12;1,50E+04;;;
26.51e-12;177.9e-12;1,60E+04;;;
27.12e-12;180.3e-12;1,70E+04;;;
27.74e-12;192.6e-12;2,00E+04;;;
28.38e-12;196.6e-12;2,10E+04;;;
29.04e-12;198.6e-12;2,10E+04;;;
29.71e-12;204.2e-12;2,30E+04;;;
30.39e-12;211.8e-12;2,60E+04;;;
31.09e-12;215.4e-12;2,70E+04;;;
31.81e-12;218.9e-12;2,80E+04;;;
32.54e-12;222.5e-12;2,90E+04;;;
33.29e-12;227.6e-12;3,10E+04;;;
34.06e-12;230.9e-12;3,20E+04;;;
34.85e-12;234.2e-12;3,20E+04;;;
35.65e-12;240.6e-12;3,40E+04;;;
36.47e-12;2,44E-10;3,50E+04;;;
37.31e-12;249.1e-12;3,70E+04;;;
38.17e-12;251.9e-12;3,80E+04;;;
39.05e-12;256.8e-12;3,90E+04;;;
39.96e-12;260.8e-12;4,00E+04;;;
40.88e-12;263.6e-12;4,20E+04;;;
41.82e-12;265.5e-12;4,20E+04;;;
42.78e-12;268.3e-12;4,30E+04;;;
43.77e-12;272.5e-12;4,50E+04;;;
44.78e-12;277.8e-12;4,70E+04;;;
45.81e-12;279.7e-12;4,70E+04;;;
46.87e-12;2,85E-10;4,90E+04;;;
47.95e-12;287.9e-12;5,00E+04;;;
49.05e-12;292.2e-12;5,20E+04;;;
50.19e-12;294.6e-12;5,30E+04;;;
51.34e-12;298.5e-12;5,40E+04;;;
52.53e-12;302.5e-12;5,60E+04;;;
53.74e-12;305.1e-12;5,70E+04;;;
54.98e-12;308.7e-12;5,80E+04;;;
56.25e-12;312.4e-12;6,00E+04;;;
57.54e-12;317.4e-12;6,10E+04;;;
58.87e-12;320.3e-12;6,20E+04;;;
60.23e-12;322.2e-12;6,30E+04;;;
61.62e-12;326.1e-12;6,50E+04;;;
63.04e-12;329.8e-12;6,70E+04;;;
64.49e-12;334.5e-12;6,80E+04;;;
65.98e-12;337.8e-12;6,90E+04;;;
67.5e-12;340.1e-12;7,10E+04;;;
69.06e-12;343.5e-12;7,30E+04;;;
70.65e-12;348.2e-12;7,40E+04;;;
72.28e-12;350.7e-12;7,50E+04;;;
73.94e-12;3,54E-10;7,70E+04;;;
